userid,itemid,rating
274558,138431,10
125767,139086,10
547377,199457,8
262402,2806944,6
517138,139086,10
863479,1973037,8
738480,722678,8
885043,2650125,10
15218,360595,10
748703,127865,10
449664,1153545,10
483798,1526552,4
915696,757774,10
979081,1689615,2
411449,1205016,10
921464,2533108,10
585892,2130194,8
613517,1420896,10
762967,180843,10
728134,987536,6
676918,123373,8
809490,1454376,10
52033,1057664,10
517457,1754771,10
739261,391525,10
318771,452942,8
884345,2686855,10
912090,182915,8
557692,2478188,10
302239,1551720,10
979614,1420770,10
29297,834814,8
649685,1010328,10
878547,2202458,8
965253,130259,6
855683,123793,10
509694,1581933,6
344452,938882,4
107270,156607,8
857203,181453,8
88691,126335,10
494310,164593,10
453477,1497935,10
246256,131117,8
47807,987052,10
249152,1691700,8
666260,137585,8
883846,131698,10
592448,168592,10
658704,2160087,8
423063,126335,8
178320,2755484,8
753944,2726376,10
67602,126335,10
595328,1424454,10
606812,148089,10
145839,187984,8
554339,127495,6
603555,126335,8
864213,721424,10
942693,344292,10
265077,155735,10
639652,515827,10
763418,128730,10
272374,125465,10
158769,1896772,8
504032,1194539,8
443290,1621234,6
619658,302356,8
778882,1636573,10
140422,2329479,8
762200,646552,8
845608,1424883,10
583735,1415952,8
472310,1106101,10
423263,132738,8
695818,1520680,10
932954,1109803,10
893699,1889597,8
546301,862446,10
106267,1764436,6
933801,147440,10
500850,1072638,10
163446,152662,10
975206,2771463,10
30803,1896920,10
697555,548104,10
601487,2131950,10
286911,1008562,4
367578,305868,8
376680,154002,10
855336,1982904,10
155486,168610,8
398605,2063202,8
403623,130727,8
462359,783906,10
585961,1108555,8
680645,129831,8
656487,137585,10
893577,1625102,8
513184,164051,10
989308,795254,10
579546,1673742,10
402042,979016,10
495352,224069,8
823207,725242,10
302995,1857455,10
976802,2712258,10
3596,1210233,8
260418,1919019,10
234385,224876,10
981193,2378271,10
42169,141688,10
45337,1310167,10
95493,2546173,8
307791,226072,10
610625,124553,10
918534,2703625,10
975050,136860,10
713352,598696,10
385792,595048,10
256838,1154504,6
545005,145417,8
557419,126335,6
973284,123793,10
630128,127865,10
802403,2017483,10
174985,1812370,10
549068,1674806,10
657647,1259708,10
235056,1112658,8
344280,1944337,8
428494,137585,10
979979,166633,10
748200,615009,10
870521,1877137,10
827052,858304,8
550470,313568,10
545532,2884139,8
186688,432275,10
292394,1280715,10
402033,2758287,10
386803,1419083,10
754176,2884139,8
734177,1415952,8
981221,389631,10
370209,394079,8
869248,227818,10
491589,2958376,8
212909,2343054,10
887647,2280839,10
175423,1213427,10
78488,1477398,10
274914,149739,8
506533,131533,10
790711,786311,10
372170,1207360,10
857714,132738,10
380058,1356085,8
698553,2842792,10
897747,1013498,10
962784,478490,10
400157,414009,8
116142,1188641,10
569032,272388,10
482088,767710,10
24617,180843,10
206900,1046957,10
597555,172914,8
827652,849468,8
360456,348662,8
362951,1768911,10
421771,567599,8
815707,2960913,10
359031,945880,10
262124,295072,10
469130,912273,10
180768,963476,10
885758,334588,8
348640,131533,10
598462,693185,10
80646,1076484,8
588106,1390212,10
346058,313821,10
413827,1875650,10
826843,330238,10
466798,1595305,10
801919,1274956,10
131088,430708,8
295662,136110,10
205977,124204,10
447447,1514308,8
640338,140321,8
996887,1246981,10
174505,1415952,8
123667,1967750,8
413333,1790955,10
756343,1077123,10
134802,1117289,10
548211,169179,10
675604,945246,8
656407,387552,10
593205,1567231,10
294702,573593,10
424591,1835732,8
163559,2696263,8
991099,986296,10
639374,883661,10
566309,2366148,10
610019,714374,10
231198,572613,8
721739,466944,8
186470,607186,10
804582,890105,10
667832,1213427,10
439438,1241917,8
348185,532135,8
735930,360595,6
976758,295745,10
384189,1793377,10
45781,2076266,8
572770,183194,8
859847,1490515,10
198731,1621234,10
704632,1831026,10
646496,668280,10
913025,1766461,10
572308,131533,10
377980,987052,10
710660,145906,8
506068,126335,10
986552,1056174,10
237602,884737,10
689043,131533,8
6507,763288,8
597442,527885,10
765376,615644,8
584966,424691,8
919277,1031440,10
922365,2155094,10
911002,2578061,10
424908,945880,10
523924,1248293,10
392649,1976130,6
897252,134393,8
244746,1754771,10
176292,145906,10
820347,1530913,10
315096,1484383,10
116922,195076,10
343735,1708327,10
871911,780380,6
294924,193179,8
161713,2468805,6
353728,128959,10
726388,1961311,10
340286,1436642,10
133728,1014880,10
842481,706145,10
792655,131533,8
348523,517998,8
330229,1433766,10
931196,1968677,10
405772,1881176,8
121399,1416608,10
416574,1516843,10
907296,2248191,8
622046,146684,10
877255,2273951,10
661521,2829293,10
113822,258206,8
402054,2565135,8
116257,382883,10
589968,301873,10
38014,1925838,10
863473,123793,8
772559,1746190,10
111815,2746761,8
695268,1746190,8
350207,2899540,8
240454,2771965,10
126304,730008,10
452273,2900163,10
152357,859889,10
34055,1880626,8
127505,831463,10
378910,2417674,4
669288,1158451,10
357034,515827,8
693936,2954118,8
539721,466944,10
971878,2429745,10
719874,137585,10
702894,1695878,10
804286,1346952,8
184119,174086,8
726303,126335,6
819373,1834911,8
349878,139086,10
105522,2781713,8
73816,1571446,8
115901,1499974,10
365810,123373,8
788046,1389014,10
191953,625911,10
80137,708549,10
878269,131533,10
917736,763288,8
533065,134015,10
7186,883661,10
655154,123793,10
318861,131698,10
901840,1080396,2
960357,145906,10
720118,2608150,6
61928,1384766,10
204563,154002,8
369514,1776178,10
666709,1977540,8
147653,617766,8
876766,137585,10
833675,763288,10
585892,2915685,8
500850,124204,10
707988,2658329,8
137241,466603,10
989698,1213427,10
132953,2273798,10
262072,1247578,4
933025,144714,8
952086,555308,10
297053,1009546,10
349187,1822358,8
84146,284665,6
472391,2214689,10
408945,356619,10
79878,1176605,8
659771,963476,8
776484,1085150,10
395621,1220393,8
796073,136110,8
134802,727157,10
15127,1063576,10
432251,416213,10
676222,1346753,10
636657,1108814,10
493881,616682,8
132936,810197,10
942742,959200,4
502689,155381,8
165303,141548,10
756053,135750,10
75044,2122960,10
150517,1045604,8
441484,865225,8
267418,130259,10
670031,2845075,8
181023,285225,10
933202,2045492,8
952081,1247578,10
106515,131533,10
895815,2400816,10
481195,132135,10
141808,137585,10
752823,1090219,10
394195,2725374,10
404345,1211829,8
509249,1187659,8
835371,2396750,10
757303,859889,10
836122,1271853,8
285836,131117,10
871911,141761,6
311695,139792,10
695819,147594,10
584225,158028,10
984298,123793,10
854155,1294660,10
929397,2572171,10
933173,1136365,8
126127,199231,8
949586,1226293,8
821234,124204,10
712619,2827807,6
736856,197170,10
316713,1271853,10
118195,1250367,8
787678,142179,4
410497,1210233,8
491174,624407,8
996653,1872602,10
161494,1607671,10
768604,276763,10
995186,1604219,10
149269,263699,10
904958,208647,10
77116,147594,10
201974,1468203,10
43980,442171,10
190707,2807362,10
738574,140321,4
696506,1000739,10
59971,1166477,10
771023,802815,10
315944,1327789,10
317749,1019581,10
966845,1730006,10
684227,218606,10
426047,2163773,10
759530,655775,10
342092,397183,10
719539,694477,10
819532,227818,8
442636,1787191,10
245027,1207456,10
3997,134393,10
752474,312893,8
443596,1260731,10
977705,128959,10
109424,2494898,10
680418,466944,10
151751,686884,8
77433,1694131,6
287608,1220393,8
620835,2577550,10
26579,654025,10
692895,517998,10
214782,182578,8
492542,1146287,8
519050,925665,10
683925,364092,10
354617,152836,10
641687,126335,8
209886,1238932,8
48628,2240411,10
582495,755371,8
290985,124204,10
333338,146684,10
238207,1693615,10
777821,1920477,8
557359,703458,10
677984,965768,10
283927,1212992,10
794598,2493150,6
141416,1453647,8
327702,172027,10
550968,1516843,10
343619,2160087,10
376824,147594,10
276920,2596674,10
764926,1652667,10
960432,589412,10
13525,763288,10
101138,1126889,10
55898,123793,10
188359,1008474,10
561497,985499,10
600375,193179,8
718167,833666,8
41790,1799162,8
275613,132738,10
323373,1542250,8
295826,154002,10
266127,2096293,8
357263,1122460,10
753165,1869056,10
710825,1505204,8
493766,172027,6
17170,851656,8
791588,1858651,10
48274,2887640,10
61928,1384766,10
966061,309634,10
379315,132135,10
240454,2015751,10
845469,148089,6
94312,2531493,10
268035,152836,6
103573,2900227,10
630618,174086,10
749956,1288868,10
115361,1050242,8
564070,2084326,10
355916,1142056,10
290851,1210233,10
873572,125465,10
601087,126335,10
718564,1238932,10
116579,596740,6
616183,1390827,10
726908,469932,8
269890,1815068,8
599441,1337205,8
64179,154002,8
375120,2760153,10
502927,2337876,10
102623,1425193,10
775686,1045120,10
153545,954303,10
342690,1714731,10
903811,527130,10
671961,128959,10
22414,859889,8
341109,162634,10
918150,1973664,10
235111,200640,10
831086,1848844,10
692392,789767,8
48265,2015956,10
317637,2489222,10
284546,846616,10
539693,2477847,10
345204,141688,10
796374,1941671,10
15686,1630965,10
660083,1706067,10
752699,123793,10
676001,168012,10
856006,883661,6
886843,2923916,10
104163,1349696,10
13051,1766461,10
144852,168610,10
316225,472922,10
444708,478077,10
956354,125424,8
763521,2303880,4
770676,132135,10
272721,1793868,8
907711,240208,10
498353,619157,10
730574,1744232,10
510832,806803,8
562543,148690,8
834411,2684666,8
243837,1949394,10
500033,146684,10
952829,1522253,8
773974,123373,6
17293,884737,10
236834,670722,10
805053,1396660,10
603687,1007290,6
993787,1366699,10
54154,1665000,8
309480,2775456,10
671701,2182859,10
746436,2155094,10
619685,1043392,8
122798,1515649,10
956788,2218157,10
842830,132738,8
830175,1679360,8
39244,1147823,10
343717,467817,10
969421,182915,6
232219,1976612,10
651046,276763,10
621986,254493,8
685246,301159,10
663918,466603,8
454294,1647277,8
104922,168610,10
743748,1866411,10
283292,429191,8
854884,124553,10
788756,2753495,10
118835,1226293,10
20659,2340200,10
536621,1106101,10
838995,943243,8
595120,730008,10
393035,2579422,10
202573,1420770,10
601243,396259,8
873155,1769937,8
262545,237589,10
290322,126335,10
873725,172914,8
400749,123793,10
924707,2554847,8
732678,2796868,8
787644,395702,10
588848,272388,10
206900,2757438,8
744119,1323006,8
103013,2445075,10
602653,364092,10
521429,1213427,8
172571,178058,8
844370,1770781,8
35367,152836,8
109521,1384226,10
141143,2168246,8
691468,2660685,10
611904,2140811,6
948168,1737394,8
947001,280734,10
835449,1832038,10
225791,883661,8
83679,183194,4
346421,1082379,6
204577,2190326,8
883083,1706040,10
443791,145417,8
402694,125564,8
578886,174086,6
383021,2223739,10
902453,1618192,10
300996,729362,4
649483,1598777,8
496675,172027,10
529649,1673742,10
607421,1175903,8
103103,721424,10
897461,755371,10
266380,1772362,10
210798,349579,10
624737,414009,10
130782,183945,10
73372,1996590,6
889155,1257812,10
81904,1226293,8
27229,1725162,10
964341,1768956,8
374461,1875650,10
246510,1109803,10
105342,1851598,8
551647,1067035,8
712415,2388023,8
965639,291513,8
815831,1412589,8
586458,633179,10
954147,809891,10
848975,1001122,10
149420,184374,8
256288,1776280,8
473407,330238,10
286612,1441700,8
408606,963476,10
227475,1383632,6
72678,1676837,10
107556,1814462,8
588132,2556160,10
841774,124553,8
357402,942188,10
898069,1567231,10
272742,1422762,8
697628,1213427,10
251554,152836,10
256185,140321,10
475724,935316,10
829421,141300,8
845608,1314014,8
46566,2918587,10
645805,136110,10
819042,259934,10
58418,985087,6
73112,1106101,10
343315,284665,2
792209,786827,10
268895,1566870,10
660195,614741,10
172983,131533,10
723704,1009546,4
643554,858304,8
304292,172027,8
890382,849468,10
902637,1495368,8
80496,1527946,10
531640,703458,10
347742,862446,6
533354,125465,8
747133,148089,10
437571,145906,10
951657,2339613,10
466228,172027,10
941472,1967775,8
609369,452942,10
553336,1695878,10
645410,152836,10
349655,820244,10
922299,1111873,10
144450,2063202,10
469060,1547971,8
576301,168592,10
269701,1530271,10
334320,918064,8
449135,172027,8
361838,1844408,8
109295,145906,8
206893,620288,10
360596,987569,10
891123,781825,10
904958,1465348,10
633585,537285,8
52469,1413486,10
759265,2743152,10
349844,1547051,10
631817,1449570,10
669923,331636,10
557458,2090997,8
137309,1295893,10
471590,1226293,8
139262,2321929,10
792518,299987,10
118182,301873,10
587492,1567172,10
494455,2531493,6
463401,2622849,10
675149,124553,8
492384,1698166,10
369514,1188641,10
555565,1172052,10
574710,2566009,6
390396,148690,6
691606,2749860,10
880778,130727,8
564111,921642,10
378987,126335,10
73760,963476,8
186838,126335,10
568939,858828,10
506201,2673874,10
866301,985087,10
92826,2848341,10
802716,1697200,8
546983,1300249,10
157633,1962198,10
238934,1832871,8
750989,337074,8
367999,879452,8
142096,2248056,6
849924,426346,8
958979,123793,10
39934,344877,10
748381,1858651,8
751632,1687082,10
906301,337867,8
51637,2635020,8
83718,582430,10
180731,2654735,10
145344,1832896,10
27229,2514175,6
293467,1366699,8
290043,1484078,8
35416,126335,10
621921,909677,10
795626,268562,8
515980,666794,10
262532,1738544,10
551640,2368838,8
168603,172027,10
247451,921642,8
977243,286193,8
88342,1031440,10
377867,1695279,10
935302,1896920,10
226492,141688,8
37518,1738690,10
232587,197170,10
905637,172027,6
265321,1626759,8
739866,166633,8
64958,140877,8
305243,181453,10
749862,2362581,10
140456,1716120,4
64938,2161642,8
800505,1171728,10
858116,172027,10
832158,2337876,10
209673,864299,10
890641,141761,10
868229,2365085,10
343992,2340996,8
355036,123793,10
733005,688271,10
594921,1225430,10
845347,2164765,10
593792,126335,10
94822,189303,10
339249,136110,8
31101,637670,10
470748,133584,10
148953,138431,10
735019,373527,8
390243,2757438,8
828803,1793377,10
60038,190238,10
450034,625370,10
871468,459700,10
720398,1146287,4
5784,126335,8
727933,174086,10
230634,140321,10
170120,1076484,10
278259,2641483,10
413575,145417,8
225858,136860,10
415447,164593,10
147020,2141414,8
297985,643385,8
58700,162491,10
779203,2927762,10
184044,1680252,10
42545,746366,6
904445,144727,10
97207,1255726,10
341039,178058,8
771377,184374,8
393701,1655531,10
18782,1998748,10
745281,1130860,10
878704,335248,10
507465,123793,10
69386,131698,10
837745,677837,10
242053,724319,10
996425,172027,8
766452,547674,10
293605,1367424,10
366523,174086,10
457818,1858651,10
332273,1090064,10
506175,985499,8
145486,296781,6
600599,1285250,10
736674,1501483,8
855009,2204233,10
836250,1076484,4
766361,1861000,10
786117,451591,8
589122,476080,8
257741,146684,10
857032,148089,10
776509,1109803,10
981306,1041724,10
757046,1746967,10
490254,1920477,10
500847,532982,4
733376,532135,10
215714,1859039,6
350742,1328898,10
347873,1609392,10
462827,2758175,10
273636,1936497,10
180397,866304,8
664878,1356952,8
995735,781825,8
507671,1091654,10
22685,1425852,6
639819,146684,10
177016,1475816,10
547738,1340234,10
316065,1585757,10
192770,126335,10
691468,331370,10
98902,668280,10
935397,1869763,10
505265,1228651,10
388317,925665,10
622489,637670,10
438909,1959943,10
299788,1756163,4
355454,126335,10
316931,1427750,10
272611,873547,6
192564,128959,10
884345,2926997,8
827963,724319,10
867813,334588,8
102995,468020,8
692788,1121730,8
231885,1869056,8
172925,1949394,10
163268,1198628,8
242838,416213,10
822018,2046224,8
185975,149739,6
266752,1744232,8
112483,132738,4
25668,1968677,10
472550,141688,10
531422,1242074,8
570030,2011987,10
190517,136860,10
800396,234407,10
541822,1364569,8
64086,1330312,10
603907,1812370,10
302483,1110928,8
109137,1229740,10
138532,209668,6
935076,1879504,8
399726,293370,10
99995,1391477,10
261453,2444721,10
713772,1913010,10
507152,1241917,8
659410,883661,10
733447,1697200,8
276538,1711225,8
192731,127865,10
200547,2318669,10
214199,145417,10
100578,226278,10
173522,2855612,10
663647,1274956,8
913915,1121132,10
99452,155735,4
820575,499679,8
130544,2686655,10
600671,128959,10
242615,1697200,8
576001,1805488,10
396546,1135348,8
768793,308834,10
752725,653200,10
375984,139086,8
243197,725242,10
335330,902478,8
152749,2051413,10
98928,172914,8
485953,1991314,8
74806,145906,10
284795,2752000,10
8820,1012189,10
970440,429191,4
470477,1996590,6
83858,131533,10
995023,1179146,10
67925,921642,10
813412,2949937,8
635356,130259,8
157520,364862,10
512547,124204,10
299675,1023159,8
957558,1674806,10
123871,1872602,10
613431,1851598,10
613007,499679,6
411462,2503472,10
946138,1626903,8
485172,137585,10
611766,713790,8
408788,132738,10
234014,1920477,8
679485,265428,10
727146,985087,10
820493,175600,4
832517,640839,10
929690,486350,10
703256,137585,10
749272,242782,8
996512,2623770,10
257154,295072,8
874907,503972,8
13878,834814,10
1296,147594,8
470637,424962,10
974590,1213427,8
295069,1645046,10
248535,1404266,10
387413,537285,10
212850,174391,10
124566,1493246,10
676928,932152,8
491334,423547,8
364818,943243,10
113652,133584,10
322199,1816796,10
360214,1238932,8
999726,137585,10
353015,135750,10
676440,1880689,8
248141,1940267,10
927813,2963850,10
188164,1707988,10
474333,1257812,10
722657,814981,10
710675,1099773,10
974490,1706448,10
726697,126335,10
298311,547674,8
311126,145906,10
919617,1422015,4
566967,843274,8
781328,616682,10
478821,948396,10
1384,1432504,8
101340,783906,10
87667,1770781,8
485927,2722274,6
36587,572613,8
226429,942188,8
804752,167112,10
668678,1962198,8
597266,187477,10
60354,2833955,10
24707,132738,8
326425,1821048,8
739557,152836,8
1070,1379493,10
429070,126335,10
783070,1459683,8
867015,2850568,10
616201,1655531,10
406567,2216225,8
841672,1335648,10
472215,174086,8
155901,168592,10
444540,127081,10
380454,427691,10
472515,1420770,10
835431,1154504,6
749336,937638,8
362951,2238930,10
517479,166633,10
33028,2593622,10
690644,1209909,6
131872,1049694,10
836856,480832,10
735790,130259,8
254464,125424,8
14361,193179,6
991741,183200,8
365587,258206,10
559413,131533,6
929354,2755189,10
46663,187164,10
268942,2222184,10
220394,208647,10
527177,2267668,10
90329,1973664,10
118936,127865,6
227557,376219,8
20464,1295893,10
927452,1064397,10
771467,166633,8
495605,175496,6
823186,1711225,10
397868,1756705,8
144050,739555,10
138974,125465,10
215055,155381,10
491589,1639887,10
580661,136860,8
387463,1661761,10
527269,2490736,8
852938,752471,10
312258,1179273,10
526193,443464,10
199954,986546,10
100582,126335,6
481238,1714731,8
265889,644706,8
691468,797218,10
999183,2316191,10
631609,1842923,10
547743,193361,8
392249,1064397,10
544802,184374,10
960514,137585,10
335198,1459539,10
410399,2495121,10
653683,2396750,10
899973,1187659,10
47002,1676837,8
153364,858304,6
531269,137585,10
934383,1205016,8
705114,1434272,4
789690,1523096,8
536582,822724,8
866241,178753,8
64058,2484886,8
700642,568875,8
333748,1546247,10
889152,2273401,4
875114,1816796,4
47168,182578,10
23326,1481329,10
253621,1557314,10
392702,1613579,10
730830,1962198,10
604684,128959,10
97890,709832,10
996987,657626,10
998171,1662059,10
341107,1292293,10
186339,125465,8
927690,125564,10
838198,478490,10
453602,999837,8
96369,279859,10
231461,1692683,8
525202,132738,10
242038,1463543,10
60290,1692989,8
671227,1793377,10
563845,1309537,10
886680,1273589,8
665993,1449570,10
261517,295362,10
744965,145417,10
842784,1576942,8
543568,1226293,10
862491,216959,10
975196,339498,10
686926,1655531,10
457730,1017773,10
77182,403038,10
83081,137585,8
893909,2653183,6
739276,168592,8
587934,1920477,10
613985,865225,10
878694,166633,10
252077,1962198,10
817187,140321,10
351582,800530,8
492205,208647,8
787320,1164757,10
454638,144051,10
53519,714374,10
29993,1444142,8
715321,132738,10
10659,139086,8
694337,1092231,10
360083,724319,10
224291,152662,10
957297,1018841,10
260350,396259,6
34590,1729496,10
2734,1509299,8
158166,544045,10
829405,150752,10
987023,1534987,10
532980,193179,10
908572,1313942,8
705986,1547178,10
639521,2691997,8
598355,1557314,10
80445,1917409,8
679250,569795,10
753998,174086,10
852128,1522959,10
717292,1904556,10
812235,160612,10
83683,1586334,8
717963,2457608,10
171306,2656158,8
421840,1491849,10
669278,963476,10
418925,690330,6
561592,1909065,10
7675,836441,10
279716,2722297,10
453234,1484078,10
401771,130259,8
997686,1082384,8
783947,982621,10
562831,2813119,10
704998,716072,10
376466,331924,8
313912,1842150,10
313140,317029,8
399689,858647,10
171714,1356952,10
678267,2469789,10
562435,126335,10
44234,136860,10
336529,178058,10
572238,2531493,10
630850,1637348,10
344217,2354093,6
343329,1340234,10
415272,126335,4
375703,234144,8
69063,2396177,10
296133,1469072,10
326502,2590191,10
103021,2284955,8
873225,1057664,8
103982,509406,10
658153,865225,6
333358,2069605,8
4020,890500,4
873523,1038233,8
793740,1174307,10
172660,1378631,10
851959,131698,10
69031,1467760,10
645993,144931,10
134526,2654048,8
553307,2297801,10
588132,2876858,10
427110,716777,10
286295,1715311,10
353509,1614043,8
679959,145906,8
646823,132738,8
557109,791847,10
235111,2812405,2
28686,2080312,10
828581,1662059,8
644305,1869940,10
611923,1176605,10
8331,982932,10
958580,123793,10
861945,1076484,10
151751,1845636,6
353554,131533,8
907434,1010926,10
61589,809891,10
778321,1009845,10
555305,1063576,10
143161,1303995,10
967642,1754708,10
412006,1001122,8
738290,1110122,10
503335,417055,10
559263,1210233,10
587445,174086,10
934277,194182,10
111879,1835732,8
11896,2901393,10
296458,265806,8
186574,1057664,10
500064,172027,10
237322,123373,6
350048,522755,10
691468,326908,10
444295,721403,10
496336,146684,10
723842,1313942,10
344988,451969,10
412685,597613,8
95920,134015,8
19589,1640972,10
358750,1174307,8
965766,1930368,10
315944,440058,8
329034,1113191,4
104883,1406056,8
76846,1818228,10
969862,347538,10
595635,126335,10
778693,1382388,4
423301,638318,10
838084,1515339,10
197159,146684,8
849000,1450102,10
826265,1520680,8
853789,172027,10
742630,1051003,10
634766,144714,8
844108,1256434,10
124317,1268360,10
741634,312324,10
763764,154652,10
415871,2426137,8
726131,1079695,10
306184,1316534,10
845062,1333481,10
1575,1983744,6
989543,134849,8
825306,1645834,8
589122,945246,10
808336,197170,8
391259,145906,10
731377,125424,10
86847,2236896,2
95498,132738,10
500555,145906,10
54595,132738,10
41447,1496861,10
770461,864981,10
89919,132738,10
90330,1692935,10
782889,127865,10
508285,1773535,8
952366,957927,10
896719,1483804,8
233583,184374,10
371539,730008,10
947612,1695878,10
71508,142179,6
717483,182578,8
166721,947192,10
570272,2080447,6
461583,1530271,10
443914,467817,10
426041,2785640,6
3060,925665,8
728625,142179,10
875001,2743152,8
723377,1057664,10
518952,1542250,10
806103,362332,10
933964,131698,6
265201,293358,8
709728,1212992,8
229659,693849,8
4472,2209432,6
930962,2829293,10
479564,183194,8
12161,284665,8
317930,420498,10
446017,139086,10
886204,285225,8
565950,1355618,10
507121,409531,10
914700,136110,8
316500,152662,8
886738,203856,10
278050,1695878,8
845968,1523882,10
961168,168610,8
928734,2937389,6
980120,302356,10
453881,2529948,10
846586,1749401,10
250828,499679,10
3983,125564,10
649434,1391906,10
22765,451860,10
161367,2771463,10
517097,1968677,6
215399,1517307,8
270218,241759,10
608681,350549,10
981237,233953,10
787815,2155094,6
822435,836119,8
746579,1523096,10
522235,126335,10
918814,1016759,10
705059,1326545,10
676966,1566348,8
679365,2840984,10
967092,174086,10
784204,515827,4
294444,884737,10
698893,1910722,10
222764,1840637,8
441361,145906,8
283004,1483562,10
564366,1090064,10
145166,963476,10
810626,173235,6
391310,1741645,10
23529,137585,10
676579,132135,8
430291,156607,8
626254,164593,8
494661,1426525,6
975196,1084380,10
640417,1429859,8
226492,1010926,10
292618,127495,10
516804,132738,10
326607,144931,10
553159,1849737,8
615300,1746190,10
325538,1730006,10
923809,1328587,10
859027,1845636,8
303985,126335,10
821349,921642,10
811296,2783742,10
752438,2859339,6
860308,954303,2
905446,1869763,8
417508,127495,10
34597,1728434,8
685291,1073611,8
313541,656480,10
978643,144714,10
452208,128959,10
39682,139792,10
661973,127865,10
579065,263981,6
307137,1842923,10
623289,1188713,10
654620,450618,10
935095,508973,6
640399,1210233,6
625655,466311,8
965310,730008,8
327899,124204,10
296451,1009546,10
162609,1010328,10
639232,755371,10
345422,131698,10
522824,356619,10
659798,168592,10
703951,2897833,10
371859,1160869,6
434102,1138755,10
660107,725242,10
143190,1076484,10
11747,863680,10
373595,539385,8
89201,2171671,6
347450,1176070,10
663461,2804719,10
832536,1746190,10
797132,1378631,10
564729,1769937,10
622987,317029,10
130171,1213752,8
59129,2041867,10
896232,497910,10
788046,1085150,8
243712,1338469,10
874040,161541,8
227322,265806,8
736588,756784,10
928561,1459539,8
291190,1355618,10
703800,2213992,10
288968,840165,10
327713,344292,8
406712,154002,10
937070,174086,10
917429,555308,10
428991,1231549,10
840105,1752487,10
687484,2173369,6
972811,131117,10
353314,206536,8
551155,1076157,10
565698,2700492,10
975291,902478,10
823876,1603811,8
810253,814116,10
194918,828847,10
813939,982932,8
933801,1354299,8
67134,1859039,8
677627,194128,8
290472,138431,8
100615,889239,8
611889,1929594,4
9036,130259,10
383030,1687082,10
505886,2063202,10
697581,127865,10
842824,2752000,10
483420,2145486,8
572524,1503791,10
608684,1603811,10
130095,137585,10
997673,1390469,10
580709,174086,8
886707,764278,8
526085,1018136,10
394666,389631,10
933896,135459,8
304318,1609392,10
514632,135750,8
83718,704861,8
695899,1626903,8
952005,2324616,8
591962,693849,10
559221,131698,8
299608,1714731,10
477192,131698,10
721283,346143,10
484895,865225,10
294053,1940985,10
453006,873547,10
8899,1378631,10
296406,1172052,10
568862,501519,10
